Tinh/TP,Quan/Huyen,PN,WC,area,floor,Tien_ich,price_
TP Hồ Chí Minh,Phú Nhuận,4.0,4.0,56.0,4.0,1,8.2
TP Hồ Chí Minh,Phú Nhuận,4.0,3.0,52.0,4.0,2,8.9
Hà Nội,Long Biên,,,76.0,2.0,1,8.4
Đồng Nai,Biên Hòa,13.0,13.0,84.0,4.0,1,7.2
Đồng Nai,Biên Hòa,2.0,2.0,87.0,2.0,3,3.0
Thừa Thiên Huế,Huế,3.0,4.0,121.0,3.0,1,6.8
Hà Nội,Hoàng Mai,4.0,4.0,43.0,5.0,3,3.4
Quảng Bình,Đồng Hới,,,120.0,1.0,3,16.0
Thừa Thiên Huế,Huế,,,220.0,3.0,2,11.9
TP Hồ Chí Minh,Tân Bình,14.0,0.0,115.0,3.0,3,8.8
Hà Nội,Ba Đình,4.0,3.0,38.0,5.0,4,4.3
Hà Nội,Hà Đông,4.0,4.0,60.0,4.0,2,8.8
TP Hồ Chí Minh,Bình Tân,2.0,2.0,34.0,3.0,4,3.2
TP Hồ Chí Minh,Bình Thạnh,2.0,2.0,48.0,2.0,4,5.8
TP Hồ Chí Minh,Quận 12,4.0,5.0,90.0,4.0,3,9.5
TP Hồ Chí Minh,Bình Tân,3.0,2.0,80.0,2.0,3,2.7
TP Hồ Chí Minh,Gò Vấp,3.0,,48.0,3.0,4,4.8
TP Hồ Chí Minh,Tân Bình,5.0,6.0,100.0,4.0,4,15.9
TP Hồ Chí Minh,Bình Thạnh,5.0,5.0,75.0,4.0,1,9.3
Thừa Thiên Huế,Huế,4.0,4.0,135.0,1.0,1,5.7
TP Hồ Chí Minh,Quận 3,2.0,,65.0,4.0,2,7.1
Hà Nội,Thanh Xuân,,,50.0,1.0,3,8.0
Hà Nội,Thanh Xuân,,,40.0,1.0,1,4.7
TP Hồ Chí Minh,Quận 3,2.0,2.0,42.0,2.0,1,6.9
Đồng Nai,Biên Hòa,2.0,2.0,88.0,1.0,2,2.3
TP Hồ Chí Minh,Quận 1,3.0,3.0,36.0,3.0,0,4.2
Hà Nội,Tây Hồ,5.0,4.0,41.0,5.0,0,9.1
Hà Nội,Hà Đông,6.0,5.0,57.0,5.0,1,6.6
TP Hồ Chí Minh,Tân Phú,4.0,4.0,53.0,4.0,2,7.1
TP Hồ Chí Minh,Quận 12,4.0,5.0,60.0,4.0,2,5.4
TP Hồ Chí Minh,Tân Phú,4.0,5.0,56.0,1.0,1,7.3
Khánh Hòa,Ninh Hòa,2.0,1.0,160.0,1.0,2,4.3
Lâm Đồng,Đà Lạt,2.0,2.0,65.0,2.0,3,3.9
TP Hồ Chí Minh,Tân Phú,3.0,4.0,45.0,4.0,2,4.9
TP Hồ Chí Minh,Tân Bình,10.0,,55.0,3.0,3,6.5
Hà Nội,Đống Đa,4.0,5.0,63.0,4.0,4,9.8
Bình Dương,Thuận An,,,330.0,1.0,2,7.65
TP Hồ Chí Minh,Tân Bình,4.0,0.0,50.0,4.0,4,5.1
TP Hồ Chí Minh,Quận 12,2.0,2.0,44.0,2.0,0,2.1
TP Hồ Chí Minh,Bình Thạnh,1.0,2.0,24.0,2.0,1,3.4
Hà Nội,Ba Đình,4.0,3.0,40.0,5.0,4,4.5
TP Hồ Chí Minh,Quận 7,2.0,2.0,115.0,3.0,4,7.0
TP Hồ Chí Minh,Tân Bình,4.0,0.0,48.0,1.0,2,6.0
Đồng Nai,Biên Hòa,4.0,4.0,66.0,3.0,4,5.0
Thanh Hóa,Thanh Hóa,5.0,5.0,84.0,5.0,0,6.8
TP Hồ Chí Minh,Phú Nhuận,3.0,2.0,76.0,20.0,2,6.8
Hà Nội,Bắc Từ Liêm,3.0,4.0,35.0,5.0,1,4.5
Hà Nội,Tây Hồ,3.0,4.0,42.0,5.0,3,4.9
Đồng Nai,Biên Hòa,,,176.0,1.0,1,3.1
TP Hồ Chí Minh,Tân Phú,,,53.0,2.0,0,10.6
TP Hồ Chí Minh,Gò Vấp,5.0,5.0,72.0,5.0,2,3.9
TP Hồ Chí Minh,Quận 12,2.0,2.0,90.0,2.0,2,7.5
TP Hồ Chí Minh,Bình Thạnh,21.0,22.0,120.0,6.0,1,17.9
Đà Nẵng,Hải Châu,2.0,,98.0,2.0,3,4.3
Đồng Nai,Biên Hòa,1.0,1.0,64.0,1.0,0,2.9
Hà Nội,Thanh Xuân,,,80.0,4.0,2,6.9
TP Hồ Chí Minh,Tân Bình,2.0,2.0,64.0,1.0,0,6.7
Hà Nội,Hà Đông,4.0,4.0,35.0,5.0,0,3.8
Đồng Nai,Biên Hòa,,,165.0,1.0,5,3.1
TP Hồ Chí Minh,Gò Vấp,4.0,4.0,59.0,4.0,2,7.5
TP Hồ Chí Minh,Bình Thạnh,6.0,6.0,84.0,4.0,2,8.7
Hà Nội,Long Biên,5.0,0.0,30.0,5.0,2,4.0
Hà Nội,Hoàng Mai,3.0,4.0,44.0,5.0,1,4.7
TP Hồ Chí Minh,Tân Bình,4.0,,48.0,1.0,3,5.1
Hà Nội,Hà Đông,4.0,4.0,50.0,5.0,0,6.7
TP Hồ Chí Minh,Gò Vấp,6.0,,60.0,5.0,1,5.6
Quảng Bình,Đồng Hới,,,120.0,5.0,2,16.0
TP Hồ Chí Minh,Tân Bình,4.0,,48.0,4.0,2,6.6
Hà Nội,Cầu Giấy,3.0,3.0,37.0,1.0,1,4.0
TP Hồ Chí Minh,Gò Vấp,6.0,4.0,64.0,3.0,1,8.0
TP Hồ Chí Minh,Quận 2,5.0,4.0,63.0,4.0,0,4.5
TP Hồ Chí Minh,Tân Bình,4.0,,48.0,1.0,2,4.5
Thừa Thiên Huế,Huế,3.0,,101.0,2.0,3,3.8
TP Hồ Chí Minh,Tân Bình,2.0,3.0,65.0,2.0,3,6.2
TP Hồ Chí Minh,Tân Bình,2.0,0.0,80.0,2.0,1,8.4
Hà Nội,Hai Bà Trưng,3.0,3.0,48.0,5.0,1,6.2
Thừa Thiên Huế,Huế,4.0,3.0,121.0,3.0,1,6.8
Hà Nội,Thanh Trì,4.0,,35.0,5.0,2,4.2
TP Hồ Chí Minh,Quận 9,,,168.0,1.0,0,7.8
Hà Nội,Hoàng Mai,3.0,,30.0,5.0,4,3.6
TP Hồ Chí Minh,Quận 12,4.0,5.0,120.0,4.0,0,9.5
TP Hồ Chí Minh,Quận 9,5.0,0.0,126.0,2.0,0,8.6
Hà Nội,Hoàng Mai,5.0,4.0,56.0,5.0,1,5.0
TP Hồ Chí Minh,Tân Bình,2.0,,30.0,2.0,3,2.1
TP Hồ Chí Minh,Tân Bình,4.0,3.0,51.0,4.0,5,8.8
Hà Nội,Cầu Giấy,5.0,2.0,50.0,2.0,0,5.3
Đà Nẵng,Thanh Khê,,,66.0,1.0,0,4.3
TP Hồ Chí Minh,Bình Tân,2.0,1.0,46.0,1.0,2,3.4
TP Hồ Chí Minh,Bình Thạnh,,2.0,55.0,2.0,2,6.0
Hà Nội,Tây Hồ,,6.0,52.0,5.0,1,5.2
Hà Nội,Hoàng Mai,5.0,4.0,57.0,4.0,2,4.6
Hà Nội,Hoàng Mai,,,108.0,4.0,0,8.1
Hà Nội,Tây Hồ,,6.0,50.0,6.0,1,7.7
TP Hồ Chí Minh,Tân Bình,4.0,4.0,58.0,3.0,2,9.5
