Tinh/TP,Quan/Huyen,PN,WC,area,floor,Tien_ich,price_
Bình Dương,Tân Uyên,2.0,3.0,62.0,2.0,3,1.5
Đồng Nai,Biên Hòa,2.0,2.0,54.0,2.0,2,0.6
TP Hồ Chí Minh,Tân Phú,3.0,,63.0,2.0,2,5.4
TP Hồ Chí Minh,Quận 12,4.0,4.0,100.0,3.0,2,8.0
Đồng Nai,Biên Hòa,3.0,2.0,120.0,2.0,1,5.0
TP Hồ Chí Minh,Thủ Đức,6.0,0.0,104.0,2.0,1,4.9
TP Hồ Chí Minh,Tân Bình,3.0,4.0,32.0,5.0,4,6.4
TP Hồ Chí Minh,Gò Vấp,,,67.0,1.0,1,8.1
Khánh Hòa,Nha Trang,,,165.5,1.0,0,15.5
TP Hồ Chí Minh,Bình Thạnh,2.0,2.0,46.0,2.0,1,4.6
TP Hồ Chí Minh,Hóc Môn,2.0,,75.0,2.0,3,0.7
Bắc Ninh,Từ Sơn,,,100.0,1.0,1,6.7
Hà Nội,Đống Đa,,,40.0,4.0,1,4.5
TP Hồ Chí Minh,Bình Thạnh,3.0,4.0,25.0,4.0,0,4.3
Hà Nội,Hai Bà Trưng,4.0,3.0,71.0,4.0,3,6.2
Đà Nẵng,Cẩm Lệ,5.0,4.0,74.0,4.0,4,7.9
Hà Nội,Thanh Trì,5.0,4.0,38.0,5.0,2,6.1
TP Hồ Chí Minh,Quận 5,3.0,2.0,60.0,2.0,2,4.2
TP Hồ Chí Minh,Quận 10,2.0,0.0,24.0,2.0,2,4.0
Đồng Nai,Biên Hòa,4.0,2.0,128.0,1.0,2,0.3
Đồng Nai,Biên Hòa,4.0,2.0,148.0,2.0,0,1.12
TP Hồ Chí Minh,Quận 9,4.0,3.0,50.5,3.0,2,5.4
Hà Nội,Long Biên,,,53.0,4.0,4,8.5
TP Hồ Chí Minh,Thủ Đức,8.0,0.0,97.0,2.0,3,4.3
TP Hồ Chí Minh,Thủ Đức,2.0,,129.0,1.0,1,7.3
Hà Nội,Hai Bà Trưng,3.0,,30.0,1.0,1,6.0
TP Hồ Chí Minh,Thủ Đức,3.0,0.0,120.0,2.0,2,6.4
TP Hồ Chí Minh,Tân Phú,2.0,2.0,57.0,2.0,2,5.7
Hà Nội,Thanh Trì,4.0,3.0,50.0,5.0,5,5.6
Đồng Nai,Biên Hòa,2.0,,110.0,1.0,0,2.3
TP Hồ Chí Minh,Gò Vấp,4.0,3.0,56.0,3.0,3,7.1
TP Hồ Chí Minh,Gò Vấp,3.0,3.0,76.0,1.0,3,8.0
TP Hồ Chí Minh,Quận 3,,,91.0,1.0,1,37.5
Đồng Nai,Vĩnh Cửu,4.0,2.0,90.0,1.0,1,1.1
Hải Phòng,Lê Chân,2.0,2.0,66.0,2.0,1,19.1
TP Hồ Chí Minh,Gò Vấp,3.0,2.0,28.0,2.0,4,3.6
Hải Phòng,Lê Chân,3.0,2.0,138.0,2.0,2,10.2
TP Hồ Chí Minh,Bình Tân,,,72.0,3.0,5,5.9
TP Hồ Chí Minh,Thủ Đức,4.0,5.0,65.0,3.0,2,7.7
TP Hồ Chí Minh,Gò Vấp,3.0,2.0,100.0,2.0,1,6.5
TP Hồ Chí Minh,Tân Phú,2.0,0.0,42.0,2.0,1,2.9
TP Hồ Chí Minh,Thủ Đức,,,178.0,1.0,3,7.2
Đồng Nai,Biên Hòa,2.0,1.0,270.0,1.0,0,2.45
TP Hồ Chí Minh,Quận 11,4.0,,58.0,2.0,0,6.1
TP Hồ Chí Minh,Gò Vấp,3.0,,45.0,4.0,0,6.4
TP Hồ Chí Minh,Tân Bình,111.0,111.0,350.0,8.0,0,35.0
Hà Nội,Hoàng Mai,3.0,3.0,40.0,1.0,3,4.8
Hà Nội,Nam Từ Liêm,3.0,4.0,30.0,5.0,3,4.2
Hà Nội,Nam Từ Liêm,,,42.0,5.0,2,4.9
Hà Nội,Nam Từ Liêm,4.0,4.0,40.0,1.0,1,2.9
TP Hồ Chí Minh,Tân Bình,2.0,2.0,60.0,2.0,2,6.1
Bình Dương,Tân Uyên,2.0,3.0,62.0,3.0,4,2.7
Hải Phòng,Hồng Bàng,4.0,3.0,50.0,4.0,1,5.6
TP Hồ Chí Minh,Tân Phú,3.0,2.0,75.0,3.0,2,4.2
Hà Nội,Tây Hồ,4.0,3.0,50.0,3.0,5,5.3
Hải Phòng,Hồng Bàng,3.0,3.0,42.0,3.0,5,3.0
TP Hồ Chí Minh,Gò Vấp,9.0,,53.0,1.0,1,6.5
TP Hồ Chí Minh,Bình Thạnh,,,138.0,1.0,3,11.9
TP Hồ Chí Minh,Bình Tân,,,45.0,2.0,4,3.7
TP Hồ Chí Minh,Thủ Đức,4.0,0.0,80.0,3.0,4,8.1
TP Hồ Chí Minh,Gò Vấp,5.0,3.0,100.0,3.0,2,9.9
TP Hồ Chí Minh,Quận 5,3.0,2.0,45.0,3.0,1,6.2
TP Hồ Chí Minh,Thủ Đức,,,97.0,1.0,3,5.8
Hà Nội,Long Biên,4.0,3.0,100.0,4.0,2,7.0
TP Hồ Chí Minh,Thủ Đức,2.0,0.0,125.0,1.0,3,6.8
TP Hồ Chí Minh,Thủ Đức,3.0,,44.0,2.0,2,3.2
TP Hồ Chí Minh,Phú Nhuận,3.0,4.0,33.0,4.0,1,4.7
Hà Nội,Ba Đình,3.0,4.0,30.0,1.0,1,5.5
Đồng Nai,Biên Hòa,,1.0,156.0,1.0,1,6.4
TP Hồ Chí Minh,Quận 9,4.0,4.0,92.0,2.0,0,6.5
Hà Nội,Hoài Đức,18.0,18.0,120.0,5.0,1,11.8
TP Hồ Chí Minh,Gò Vấp,4.0,3.0,40.0,4.0,2,5.0
Hà Nội,Hoàng Mai,,,25.0,5.0,2,4.6
TP Hồ Chí Minh,Bình Chánh,,,130.0,1.0,2,5.5
TP Hồ Chí Minh,Tân Phú,4.0,,64.0,4.0,1,6.7
TP Hồ Chí Minh,Bình Tân,3.0,2.0,64.0,1.0,1,4.4
TP Hồ Chí Minh,Thủ Đức,5.0,0.0,175.0,4.0,0,18.9
TP Hồ Chí Minh,Thủ Đức,4.0,5.0,65.0,3.0,1,7.4
Hà Nội,Ba Đình,3.0,4.0,30.0,5.0,1,4.8
TP Hồ Chí Minh,Phú Nhuận,3.0,2.0,35.0,1.0,1,4.7
Hà Nội,Đống Đa,4.0,5.0,41.0,6.0,2,6.3
Tiền Giang,Châu Thành,3.0,,182.0,1.0,2,2.1
Hà Nội,Hà Đông,6.0,,126.0,1.0,5,27.47
TP Hồ Chí Minh,Tân Phú,3.0,0.0,36.0,2.0,4,2.7
TP Hồ Chí Minh,Thủ Đức,5.0,0.0,55.0,4.0,3,6.2
Hà Nội,Thanh Xuân,6.0,4.0,49.0,5.0,3,5.7
TP Hồ Chí Minh,Gò Vấp,9.0,9.0,56.0,5.0,2,7.4
TP Hồ Chí Minh,Gò Vấp,5.0,5.0,93.0,1.0,2,9.0
TP Hồ Chí Minh,Bình Thạnh,5.0,,86.0,1.0,1,8.3
TP Hồ Chí Minh,Thủ Đức,,,91.0,3.0,1,5.9
Đà Nẵng,Thanh Khê,2.0,2.0,45.0,2.0,0,2.3
TP Hồ Chí Minh,Quận 12,2.0,2.0,30.0,1.0,1,2.4
Hà Nội,Long Biên,3.0,,40.0,1.0,2,3.5
Hà Nội,Long Biên,3.0,,40.0,4.0,2,3.4
TP Hồ Chí Minh,Tân Phú,6.0,6.0,56.0,5.0,2,5.8
TP Hồ Chí Minh,Tân Bình,,,62.0,1.0,1,6.6
TP Hồ Chí Minh,Tân Bình,5.0,4.0,54.0,5.0,4,7.0
TP Hồ Chí Minh,Quận 12,2.0,2.0,105.0,1.0,3,5.1
TP Hồ Chí Minh,Gò Vấp,2.0,2.0,34.0,2.0,1,3.2
TP Hồ Chí Minh,Gò Vấp,3.0,2.0,49.0,2.0,1,4.6
TP Hồ Chí Minh,Quận 12,3.0,3.0,214.0,1.0,0,4.16
TP Hồ Chí Minh,Tân Phú,2.0,2.0,30.0,2.0,1,3.6
Hà Nội,Long Biên,4.0,,76.0,6.0,1,9.5
TP Hồ Chí Minh,Gò Vấp,4.0,5.0,75.0,4.0,3,7.8
TP Hồ Chí Minh,Gò Vấp,2.0,2.0,60.0,2.0,3,4.1
TP Hồ Chí Minh,Tân Phú,,,36.0,2.0,2,3.1
Hà Nội,Long Biên,3.0,,80.0,5.0,2,7.2
TP Hồ Chí Minh,Tân Phú,2.0,2.0,31.0,2.0,3,2.8
Hà Nội,Long Biên,4.0,3.0,42.0,4.0,4,3.6
TP Hồ Chí Minh,Gò Vấp,4.0,5.0,76.0,5.0,2,8.0
TP Hồ Chí Minh,Gò Vấp,5.0,16.0,79.0,5.0,2,9.6
Hà Nội,Hà Đông,2.0,,15.0,3.0,2,1.2
Hà Nội,Hà Đông,4.0,,91.0,4.0,2,15.6
Hà Nội,Hà Đông,4.0,,46.0,1.0,4,9.3
Đà Nẵng,Sơn Trà,2.0,3.0,95.0,2.0,0,3.6
TP Hồ Chí Minh,Quận 9,4.0,2.0,114.0,1.0,3,6.3
Hà Nội,Long Biên,,,35.0,6.0,1,3.3
Hà Nội,Long Biên,2.0,,65.0,1.0,1,10.3
TP Hồ Chí Minh,Thủ Đức,2.0,1.0,42.0,1.0,4,2.6
TP Hồ Chí Minh,Thủ Đức,,,96.0,1.0,3,5.5
Đà Nẵng,Cẩm Lệ,4.0,2.0,90.0,1.0,2,4.5
TP Hồ Chí Minh,Bình Tân,7.0,0.0,90.0,3.0,5,5.1
TP Hồ Chí Minh,Bình Tân,,,80.0,1.0,1,4.1
TP Hồ Chí Minh,Quận 8,2.0,2.0,30.0,3.0,0,4.1
TP Hồ Chí Minh,Gò Vấp,3.0,2.0,46.0,2.0,0,4.2
TP Hồ Chí Minh,Bình Thạnh,2.0,3.0,52.0,3.0,1,5.7
TP Hồ Chí Minh,Gò Vấp,4.0,3.0,58.0,4.0,2,7.3
TP Hồ Chí Minh,Bình Thạnh,3.0,2.0,40.0,2.0,0,5.7
TP Hồ Chí Minh,Thủ Đức,,,58.0,1.0,3,4.6
TP Hồ Chí Minh,Thủ Đức,2.0,0.0,48.0,2.0,2,3.2
TP Hồ Chí Minh,Gò Vấp,2.0,2.0,40.0,2.0,4,2.9
TP Hồ Chí Minh,Gò Vấp,2.0,2.0,30.0,4.0,1,4.6
TP Hồ Chí Minh,Thủ Đức,2.0,2.0,60.0,2.0,2,3.7
Đồng Nai,Vĩnh Cửu,4.0,3.0,120.0,1.0,2,2.7
Đồng Nai,Biên Hòa,3.0,2.0,128.0,1.0,2,1.5
Bình Dương,Tân Uyên,2.0,3.0,61.0,3.0,4,2.2
TP Hồ Chí Minh,Gò Vấp,3.0,4.0,50.0,5.0,1,7.5
TP Hồ Chí Minh,Quận 10,3.0,0.0,82.0,3.0,2,4.3
TP Hồ Chí Minh,Quận 10,5.0,,97.3,3.0,4,10.4
TP Hồ Chí Minh,Tân Phú,2.0,2.0,56.0,2.0,3,5.8
Hà Nội,Đống Đa,3.0,4.0,42.0,5.0,1,7.5
Hà Nội,Đống Đa,,,60.0,4.0,0,12.9
TP Hồ Chí Minh,Gò Vấp,2.0,0.0,35.0,3.0,1,3.9
TP Hồ Chí Minh,Thủ Đức,3.0,3.0,80.0,2.0,3,6.2
TP Hồ Chí Minh,Hóc Môn,4.0,3.0,130.0,3.0,1,1.3
TP Hồ Chí Minh,Bình Thạnh,5.0,5.0,55.0,4.0,1,5.8
TP Hồ Chí Minh,Tân Phú,4.0,4.0,95.0,3.0,2,7.0
An Giang,Sơn Trà,24.0,24.0,100.0,9.0,1,32.0
TP Hồ Chí Minh,Tân Bình,4.0,,45.0,1.0,1,7.9
TP Hồ Chí Minh,Gò Vấp,10.0,8.0,100.0,1.0,2,8.0
Long An,Đức Hòa,2.0,3.0,100.0,1.0,4,3.4
TP Hồ Chí Minh,Bình Thạnh,2.0,2.0,48.0,2.0,1,5.0
TP Hồ Chí Minh,Bình Thạnh,,,65.0,1.0,1,11.1
Hà Nội,Cầu Giấy,,,100.0,7.0,0,36.0
TP Hồ Chí Minh,Hóc Môn,2.0,2.0,40.0,2.0,4,0.3
TP Hồ Chí Minh,Bình Thạnh,,,52.0,2.0,2,7.1
TP Hồ Chí Minh,Tân Bình,5.0,6.0,68.0,4.0,4,9.0
Hà Nội,Đống Đa,6.0,4.0,45.0,5.0,1,6.1
TP Hồ Chí Minh,Bình Thạnh,4.0,3.0,121.0,3.0,3,17.5
Thừa Thiên Huế,Huế,8.0,8.0,138.0,4.0,1,6.5
TP Hồ Chí Minh,Gò Vấp,3.0,,87.0,2.0,2,7.3
TP Hồ Chí Minh,Bình Thạnh,,,250.0,1.0,3,13.99
TP Hồ Chí Minh,Gò Vấp,3.0,4.0,59.0,3.0,2,6.8
TP Hồ Chí Minh,Thủ Đức,,,175.0,4.0,1,19.0
TP Hồ Chí Minh,Gò Vấp,2.0,3.0,27.0,3.0,1,3.8
Hà Nội,Hoàng Mai,3.0,,38.0,3.0,2,4.1
TP Hồ Chí Minh,Bình Thạnh,5.0,5.0,323.0,3.0,2,22.8
TP Hồ Chí Minh,Bình Tân,,,84.0,5.0,0,6.5
Đồng Nai,Biên Hòa,3.0,3.0,50.0,2.0,2,2.7
Đồng Nai,Biên Hòa,4.0,3.0,84.0,3.0,4,5.8
TP Hồ Chí Minh,Bình Thạnh,3.0,2.0,45.0,2.0,1,5.8
TP Hồ Chí Minh,Thủ Đức,,,380.0,1.0,1,10.0
TP Hồ Chí Minh,Bình Thạnh,5.0,6.0,95.0,3.0,2,8.3
TP Hồ Chí Minh,Quận 5,4.0,4.0,65.0,4.0,3,10.4
TP Hồ Chí Minh,Quận 5,3.0,2.0,30.0,2.0,1,4.5
TP Hồ Chí Minh,Thủ Đức,3.0,0.0,114.0,3.0,1,7.7
TP Hồ Chí Minh,Thủ Đức,3.0,0.0,125.0,2.0,1,6.0
Đồng Nai,Biên Hòa,2.0,2.0,100.0,1.0,2,2.7
Đồng Nai,Biên Hòa,4.0,2.0,128.0,2.0,1,1.6
TP Hồ Chí Minh,Gò Vấp,4.0,4.0,200.0,3.0,1,18.5
TP Hồ Chí Minh,Gò Vấp,3.0,,45.0,2.0,1,4.3
TP Hồ Chí Minh,Gò Vấp,2.0,,125.0,1.0,0,8.7
Hà Nội,Thanh Xuân,1.0,1.0,22.0,1.0,1,2.7
Hà Nội,Đống Đa,4.0,5.0,36.0,6.0,2,5.7
Hà Nội,Long Biên,5.0,5.0,100.0,5.0,2,12.0
TP Hồ Chí Minh,Bình Tân,,,96.0,2.0,3,4.3
Hà Nội,Hoàng Mai,3.0,4.0,35.0,1.0,6,5.3
TP Hồ Chí Minh,Thủ Đức,5.0,0.0,175.0,4.0,1,18.8
Hà Nội,Thanh Xuân,6.0,,75.0,3.0,2,19.6
TP Hồ Chí Minh,Gò Vấp,2.0,2.0,50.0,2.0,1,4.7
TP Hồ Chí Minh,Gò Vấp,4.0,4.0,68.0,2.0,0,5.4
Hà Nội,Cầu Giấy,,,48.0,5.0,1,6.6
TP Hồ Chí Minh,Bình Tân,,,103.0,3.0,3,7.6
TP Hồ Chí Minh,Gò Vấp,3.0,4.0,52.0,3.0,3,5.7
Hải Phòng,Hồng Bàng,5.0,4.0,58.0,3.0,0,3.6
TP Hồ Chí Minh,Phú Nhuận,7.0,7.0,60.0,4.0,3,10.9
TP Hồ Chí Minh,Thủ Đức,3.0,0.0,120.0,2.0,3,7.4
TP Hồ Chí Minh,Thủ Đức,4.0,4.0,131.0,3.0,3,8.1
Hà Nội,Ba Đình,3.0,3.0,35.0,6.0,2,4.5
TP Hồ Chí Minh,Gò Vấp,4.0,3.0,121.0,3.0,1,8.4
TP Hồ Chí Minh,Quận 9,4.0,3.0,51.0,3.0,3,4.6
Đồng Nai,Biên Hòa,3.0,2.0,70.0,2.0,2,2.0
Đồng Nai,Biên Hòa,2.0,,93.0,1.0,2,5.9
TP Hồ Chí Minh,Tân Bình,,,40.0,3.0,3,4.8
TP Hồ Chí Minh,Hóc Môn,3.0,,93.0,2.0,5,1.5
Long An,Đức Hòa,3.0,3.0,60.0,1.0,3,3.8
TP Hồ Chí Minh,Bình Tân,,,100.0,5.0,0,6.2
Hà Nội,Hoàng Mai,,,30.0,5.0,1,36.0
Hà Nội,Hà Đông,3.0,3.0,48.0,1.0,3,7.2
TP Hồ Chí Minh,Hóc Môn,,,100.0,1.0,2,1.5
TP Hồ Chí Minh,Bình Thạnh,,,90.0,4.0,2,8.2
Hà Nội,Thanh Xuân,4.0,4.0,50.0,5.0,0,6.7
TP Hồ Chí Minh,Gò Vấp,5.0,4.0,66.0,2.0,1,7.0
TP Hồ Chí Minh,Bình Tân,,,100.0,2.0,0,5.3
TP Hồ Chí Minh,Tân Phú,3.0,3.0,51.0,3.0,1,5.5
Thừa Thiên Huế,Huế,33.0,3.0,77.0,2.0,1,2.7
Đồng Nai,Biên Hòa,4.0,2.0,128.0,1.0,3,2.1
Hải Phòng,Ngô Quyền,3.0,2.0,47.0,3.0,1,10.5
Đồng Nai,Biên Hòa,3.0,2.0,460.0,2.0,2,20.0
Đồng Nai,Biên Hòa,2.0,2.0,73.0,2.0,2,5.4
Đồng Nai,Vĩnh Cửu,4.0,2.0,128.0,1.0,0,0.6
Bình Dương,Tân Uyên,2.0,3.0,62.0,1.0,1,2.5
TP Hồ Chí Minh,Thủ Đức,2.0,,100.0,2.0,2,6.5
TP Hồ Chí Minh,Quận 10,4.0,,50.0,4.0,3,7.4
TP Hồ Chí Minh,Bình Tân,4.0,5.0,56.0,4.0,4,5.5
TP Hồ Chí Minh,Thủ Đức,3.0,0.0,192.0,1.0,2,8.5
TP Hồ Chí Minh,Bình Thạnh,10.0,5.0,50.0,4.0,1,4.6
TP Hồ Chí Minh,Quận 6,4.0,3.0,173.0,4.0,3,9.0
Hải Phòng,Hồng Bàng,4.0,4.0,48.0,4.0,3,3.6
Hà Nội,Cầu Giấy,3.0,4.0,42.0,1.0,2,5.1
TP Hồ Chí Minh,Thủ Đức,5.0,,375.0,2.0,1,42.0
TP Hồ Chí Minh,Quận 2,4.0,4.0,58.5,3.0,3,7.5
Hà Nội,Thanh Trì,4.0,4.0,57.0,4.0,5,7.3
TP Hồ Chí Minh,Quận 12,4.0,4.0,50.0,4.0,2,5.6
TP Hồ Chí Minh,Thủ Đức,,,124.0,4.0,1,11.8
TP Hồ Chí Minh,Bình Tân,,,60.0,4.0,0,3.5
Hà Nội,Long Biên,5.0,4.0,50.0,4.0,3,7.2
TP Hồ Chí Minh,Bình Thạnh,4.0,4.0,140.0,1.0,1,8.6
TP Hồ Chí Minh,Quận 3,4.0,5.0,38.0,1.0,1,6.1
TP Hồ Chí Minh,Phú Nhuận,2.0,4.0,26.0,3.0,2,5.2
Hà Nội,Hai Bà Trưng,,,40.0,5.0,2,7.0
TP Hồ Chí Minh,Thủ Đức,2.0,2.0,64.0,2.0,4,5.7
TP Hồ Chí Minh,Tân Bình,4.0,3.0,49.0,3.0,4,5.2
TP Hồ Chí Minh,Gò Vấp,4.0,3.0,111.0,3.0,4,9.6
Hà Nội,Hà Đông,5.0,4.0,180.0,3.0,2,21.0
TP Hồ Chí Minh,Gò Vấp,3.0,3.0,45.0,3.0,0,3.8
TP Hồ Chí Minh,Quận 9,6.0,3.0,289.0,2.0,4,10.0
TP Hồ Chí Minh,Thủ Đức,3.0,4.0,1613.0,1.0,1,160.0
Hà Nội,Hà Đông,,,31.0,1.0,3,3.4
Hà Nội,Hà Đông,3.0,,35.0,4.0,4,3.2
Hà Nội,Cầu Giấy,6.0,,45.0,1.0,2,15.5
Hà Nội,Hoàng Mai,3.0,4.0,30.0,5.0,1,3.9
TP Hồ Chí Minh,Thủ Đức,,,40.0,1.0,0,3.8
TP Hồ Chí Minh,Bình Thạnh,3.0,3.0,40.0,4.0,0,7.3
Thừa Thiên Huế,Huế,3.0,3.0,64.0,2.0,3,3.5
Đà Nẵng,Sơn Trà,15.0,15.0,100.0,6.0,1,12.4
TP Hồ Chí Minh,Thủ Đức,3.0,2.0,78.0,2.0,0,6.1
TP Hồ Chí Minh,Thủ Đức,5.0,,372.0,2.0,2,4.15
Hà Nội,Thanh Trì,4.0,3.0,57.0,4.0,5,6.9
TP Hồ Chí Minh,Quận 12,2.0,2.0,140.0,1.0,0,6.7
TP Hồ Chí Minh,Bình Tân,,,93.0,3.0,3,5.6
Cần Thơ,Ninh Kiều,3.0,,65.0,3.0,4,2.3
Thừa Thiên Huế,Huế,3.0,2.0,100.0,2.0,4,1.7
Thừa Thiên Huế,Huế,3.0,3.0,81.0,5.0,0,4.6
TP Hồ Chí Minh,Thủ Đức,3.0,0.0,87.0,2.0,0,6.1
Đồng Nai,Biên Hòa,3.0,2.0,71.0,2.0,2,2.5
Đồng Nai,Biên Hòa,4.0,2.0,166.0,1.0,3,2.85
TP Hồ Chí Minh,Thủ Đức,,,191.0,2.0,1,6.4
Hà Nội,Hà Đông,3.0,2.0,36.0,3.0,2,3.8
TP Hồ Chí Minh,Tân Bình,,,54.0,3.0,2,4.9
TP Hồ Chí Minh,Quận 5,4.0,3.0,56.0,3.0,1,15.0
TP Hồ Chí Minh,Quận 10,3.0,3.0,33.0,4.0,3,6.7
TP Hồ Chí Minh,Bình Tân,6.0,4.0,140.0,4.0,3,6.9
TP Hồ Chí Minh,Hóc Môn,1.0,0.0,125.0,1.0,3,2.8
Đà Nẵng,Sơn Trà,3.0,0.0,120.0,3.0,5,4.7
TP Hồ Chí Minh,Thủ Đức,4.0,0.0,50.0,4.0,3,7.5
TP Hồ Chí Minh,Gò Vấp,2.0,,30.0,2.0,5,2.3
Bình Dương,Tân Uyên,2.0,3.0,61.0,1.0,1,3.0
TP Hồ Chí Minh,Bình Tân,,,91.0,3.0,2,5.3
TP Hồ Chí Minh,Bình Thạnh,2.0,2.0,36.0,4.0,1,4.3
Long An,Đức Hòa,5.0,5.0,64.0,2.0,3,2.1
TP Hồ Chí Minh,Quận 1,3.0,3.0,31.0,3.0,1,6.8
Hà Nội,Đống Đa,3.0,2.0,14.0,5.0,1,1.1
Đồng Nai,Biên Hòa,4.0,3.0,127.0,3.0,2,8.0
TP Hồ Chí Minh,Quận 5,5.0,5.0,75.0,6.0,0,10.8
Đồng Nai,Biên Hòa,3.0,2.0,107.0,1.0,1,3.6
TP Hồ Chí Minh,Thủ Đức,5.0,,240.0,4.0,3,55.0
TP Hồ Chí Minh,Gò Vấp,5.0,3.0,60.0,3.0,1,4.8
Hà Nội,Tây Hồ,4.0,5.0,43.0,4.0,2,4.8
TP Hồ Chí Minh,Gò Vấp,3.0,2.0,50.0,2.0,2,4.1
Đồng Nai,Biên Hòa,4.0,2.0,128.0,1.0,1,1.3
TP Hồ Chí Minh,Gò Vấp,3.0,0.0,45.0,4.0,3,5.1
Đà Nẵng,Ngũ Hành Sơn,4.0,4.0,90.0,3.0,3,5.6
TP Hồ Chí Minh,Bình Tân,,,83.0,4.0,3,7.9
Đồng Nai,Vĩnh Cửu,4.0,2.0,180.0,1.0,2,1.85
TP Hồ Chí Minh,Thủ Đức,,,270.0,5.0,4,28.0
TP Hồ Chí Minh,Thủ Đức,4.0,0.0,40.0,2.0,1,2.6
Hà Nội,Tây Hồ,13.0,15.0,80.0,8.0,1,26.0
TP Hồ Chí Minh,Thủ Đức,,,400.0,1.0,1,45.0
TP Hồ Chí Minh,Gò Vấp,3.0,2.0,65.0,2.0,0,6.6
TP Hồ Chí Minh,Bình Thạnh,2.0,2.0,35.0,3.0,0,4.4
TP Hồ Chí Minh,Gò Vấp,4.0,3.0,52.0,3.0,2,6.6
TP Hồ Chí Minh,Gò Vấp,3.0,3.0,90.0,3.0,1,7.5
TP Hồ Chí Minh,Bình Thạnh,2.0,,52.0,2.0,0,51.0
TP Hồ Chí Minh,Bình Thạnh,,,95.0,3.0,2,6.6
Hà Nội,Đống Đa,3.0,,40.0,4.0,1,9.2
Đồng Nai,Biên Hòa,2.0,2.0,70.0,1.0,3,3.6
Hà Nội,Đống Đa,3.0,,45.0,5.0,1,21.5
TP Hồ Chí Minh,Hóc Môn,2.0,,60.0,2.0,5,1.1
TP Hồ Chí Minh,Bình Thạnh,3.0,3.0,33.0,3.0,1,4.5
TP Hồ Chí Minh,Gò Vấp,6.0,7.0,68.0,5.0,1,6.8
Bắc Ninh,Từ Sơn,,,90.0,1.0,0,5.7
TP Hồ Chí Minh,Thủ Đức,,,420.0,3.0,1,18.0
TP Hồ Chí Minh,Bình Thạnh,5.0,3.0,34.0,3.0,1,4.3
TP Hồ Chí Minh,Bình Thạnh,,,138.0,3.0,4,10.1
Đà Nẵng,Thanh Khê,3.0,3.0,87.0,2.0,1,5.1
TP Hồ Chí Minh,Quận 3,,,86.0,4.0,2,51.0
TP Hồ Chí Minh,Gò Vấp,3.0,3.0,44.0,3.0,0,4.5
TP Hồ Chí Minh,Gò Vấp,3.0,3.0,31.0,3.0,1,4.5
Hà Nội,Hoàng Mai,2.0,,40.0,5.0,2,4.3
Hà Nội,Hoàng Mai,3.0,,40.0,5.0,2,4.9
TP Hồ Chí Minh,Gò Vấp,,,30.0,2.0,4,3.7
Đà Nẵng,Cẩm Lệ,4.0,4.0,100.0,3.0,3,6.4
TP Hồ Chí Minh,Bình Thạnh,5.0,4.0,44.1,5.0,2,7.0
TP Hồ Chí Minh,Gò Vấp,,,52.0,1.0,2,4.9
TP Hồ Chí Minh,Quận 1,2.0,3.0,14.0,3.0,4,3.2
TP Hồ Chí Minh,Phú Nhuận,,,127.0,1.0,1,63.0
TP Hồ Chí Minh,Thủ Đức,3.0,0.0,52.0,3.0,4,3.5
TP Hồ Chí Minh,Gò Vấp,5.0,6.0,60.0,4.0,1,8.6
Hải Phòng,Lê Chân,4.0,4.0,67.0,5.0,1,33.0
TP Hồ Chí Minh,Gò Vấp,4.0,4.0,60.0,4.0,2,8.7
TP Hồ Chí Minh,Thủ Đức,3.0,,250.0,2.0,0,16.5
TP Hồ Chí Minh,Thủ Đức,2.0,,85.0,1.0,1,4.2
TP Hồ Chí Minh,Bình Tân,,3.0,406.0,1.0,2,4.9
Hà Nội,Hoàng Mai,,,55.0,4.0,3,9.0
Hà Nội,Hai Bà Trưng,,,65.0,1.0,1,8.8
Hà Nội,Cầu Giấy,3.0,4.0,37.0,5.0,3,4.2
TP Hồ Chí Minh,Thủ Đức,2.0,0.0,55.0,2.0,5,4.4
TP Hồ Chí Minh,Bình Tân,3.0,3.0,30.0,4.0,0,2.9
TP Hồ Chí Minh,Thủ Đức,5.0,6.0,171.0,4.0,3,19.0
TP Hồ Chí Minh,Bình Tân,4.0,3.0,60.0,3.0,3,59.0
TP Hồ Chí Minh,Bình Tân,,3.0,45.0,4.0,4,4.7
Hà Nội,Hai Bà Trưng,3.0,4.0,37.0,1.0,2,4.6
TP Hồ Chí Minh,Hóc Môn,3.0,2.0,80.0,2.0,3,0.8
TP Hồ Chí Minh,Gò Vấp,2.0,2.0,60.0,2.0,1,5.5
Đà Nẵng,Sơn Trà,3.0,,80.0,3.0,2,4.1
Thừa Thiên Huế,Huế,3.0,3.0,117.0,1.0,1,5.4
TP Hồ Chí Minh,Gò Vấp,4.0,0.0,60.0,1.0,1,5.0
Tiền Giang,Châu Thành,3.0,,100.0,3.0,0,1.9
TP Hồ Chí Minh,Tân Phú,,,80.0,4.0,2,7.9
TP Hồ Chí Minh,Thủ Đức,8.0,0.0,95.0,3.0,3,7.6
Hà Nội,Hoàng Mai,4.0,5.0,50.0,4.0,4,5.2
Đồng Nai,Vĩnh Cửu,4.0,,128.0,1.0,2,0.3
Hà Nội,Hà Đông,2.0,2.0,91.0,1.0,1,4.7
TP Hồ Chí Minh,Quận 8,7.0,,56.0,6.0,2,8.3
